,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
9,frozenset({'Kaos anak distro bahan katun premium'}),frozenset({'Kebaya Encim A-Line Bordir'}),0.01818181818181818,0.02727272727272727,0.01818181818181818,1.0,36.66666666666667,1.0,0.01768595041322314,inf,0.9907407407407408,0.6666666666666666,1.0,0.8333333333333333
20,frozenset({'Vintage Casual Premium Zipper'}),frozenset({'Workout Stretwear x Scribbles Tshirt Oversize Basic Dreamer pakaian pria dan wanita'}),0.01818181818181818,0.02727272727272727,0.01818181818181818,1.0,36.66666666666667,1.0,0.01768595041322314,inf,0.9907407407407408,0.6666666666666666,1.0,0.8333333333333333
23,"frozenset({'SHOEBALI Heels 021-218', 'Setelan Jas Dan Celana Pria Formal'})",frozenset({'Sepatu wanita sneakers'}),0.01818181818181818,0.02727272727272727,0.01818181818181818,1.0,36.66666666666667,1.0,0.01768595041322314,inf,0.9907407407407408,0.6666666666666666,1.0,0.8333333333333333
22,"frozenset({'SHOEBALI Heels 021-218', 'Sepatu wanita sneakers'})",frozenset({'Setelan Jas Dan Celana Pria Formal'}),0.01818181818181818,0.02727272727272727,0.01818181818181818,1.0,36.66666666666667,1.0,0.01768595041322314,inf,0.9907407407407408,0.6666666666666666,1.0,0.8333333333333333
21,frozenset({'Workout Stretwear x Scribbles Tshirt Oversize Basic Dreamer pakaian pria dan wanita'}),frozenset({'Vintage Casual Premium Zipper'}),0.02727272727272727,0.01818181818181818,0.01818181818181818,0.6666666666666666,36.666666666666664,1.0,0.01768595041322314,2.9454545454545453,0.9999999999999998,0.6666666666666666,0.6604938271604938,0.8333333333333333
8,frozenset({'Kebaya Encim A-Line Bordir'}),frozenset({'Kaos anak distro bahan katun premium'}),0.02727272727272727,0.01818181818181818,0.01818181818181818,0.6666666666666666,36.666666666666664,1.0,0.01768595041322314,2.9454545454545453,0.9999999999999998,0.6666666666666666,0.6604938271604938,0.8333333333333333
27,frozenset({'Setelan Jas Dan Celana Pria Formal'}),"frozenset({'SHOEBALI Heels 021-218', 'Sepatu wanita sneakers'})",0.02727272727272727,0.01818181818181818,0.01818181818181818,0.6666666666666666,36.666666666666664,1.0,0.01768595041322314,2.9454545454545453,0.9999999999999998,0.6666666666666666,0.6604938271604938,0.8333333333333333
26,frozenset({'Sepatu wanita sneakers'}),"frozenset({'SHOEBALI Heels 021-218', 'Setelan Jas Dan Celana Pria Formal'})",0.02727272727272727,0.01818181818181818,0.01818181818181818,0.6666666666666666,36.666666666666664,1.0,0.01768595041322314,2.9454545454545453,0.9999999999999998,0.6666666666666666,0.6604938271604938,0.8333333333333333
25,frozenset({'SHOEBALI Heels 021-218'}),"frozenset({'Sepatu wanita sneakers', 'Setelan Jas Dan Celana Pria Formal'})",0.03636363636363636,0.01818181818181818,0.01818181818181818,0.5,27.5,1.0,0.017520661157024792,1.9636363636363636,1.0,0.5,0.49074074074074076,0.75
24,"frozenset({'Sepatu wanita sneakers', 'Setelan Jas Dan Celana Pria Formal'})",frozenset({'SHOEBALI Heels 021-218'}),0.01818181818181818,0.03636363636363636,0.01818181818181818,1.0,27.5,1.0,0.017520661157024792,inf,0.9814814814814816,0.5,1.0,0.75
0,frozenset({'Arabian Voile (Hijab Voal) | MINIMSLM'}),frozenset({'Tunik Aruna-Seri Ice'}),0.02727272727272727,0.02727272727272727,0.01818181818181818,0.6666666666666666,24.444444444444443,1.0,0.01743801652892562,2.918181818181818,0.9859813084112148,0.5,0.6573208722741433,0.6666666666666666
1,frozenset({'Tunik Aruna-Seri Ice'}),frozenset({'Arabian Voile (Hijab Voal) | MINIMSLM'}),0.02727272727272727,0.02727272727272727,0.01818181818181818,0.6666666666666666,24.444444444444443,1.0,0.01743801652892562,2.918181818181818,0.9859813084112148,0.5,0.6573208722741433,0.6666666666666666
16,frozenset({'Sepatu wanita sneakers'}),frozenset({'Setelan Jas Dan Celana Pria Formal'}),0.02727272727272727,0.02727272727272727,0.01818181818181818,0.6666666666666666,24.444444444444443,1.0,0.01743801652892562,2.918181818181818,0.9859813084112148,0.5,0.6573208722741433,0.6666666666666666
17,frozenset({'Setelan Jas Dan Celana Pria Formal'}),frozenset({'Sepatu wanita sneakers'}),0.02727272727272727,0.02727272727272727,0.01818181818181818,0.6666666666666666,24.444444444444443,1.0,0.01743801652892562,2.918181818181818,0.9859813084112148,0.5,0.6573208722741433,0.6666666666666666
5,frozenset({'MaruKids - Dexter Shirt'}),frozenset({'Celana Cargo Pendek Anak Laki-Laki Bahan Dusky Crinkle/Parasut'}),0.01818181818181818,0.045454545454545456,0.01818181818181818,1.0,22.0,1.0,0.017355371900826446,inf,0.9722222222222223,0.4,1.0,0.7
4,frozenset({'Celana Cargo Pendek Anak Laki-Laki Bahan Dusky Crinkle/Parasut'}),frozenset({'MaruKids - Dexter Shirt'}),0.045454545454545456,0.01818181818181818,0.01818181818181818,0.39999999999999997,22.0,1.0,0.017355371900826446,1.636363636363636,1.0,0.4,0.38888888888888884,0.7
14,frozenset({'SHOEBALI Heels 021-218'}),frozenset({'Setelan Jas Dan Celana Pria Formal'}),0.03636363636363636,0.02727272727272727,0.01818181818181818,0.5,18.333333333333336,1.0,0.0171900826446281,1.9454545454545455,0.9811320754716982,0.4,0.4859813084112149,0.5833333333333333
12,frozenset({'SHOEBALI Heels 021-218'}),frozenset({'Sepatu wanita sneakers'}),0.03636363636363636,0.02727272727272727,0.01818181818181818,0.5,18.333333333333336,1.0,0.0171900826446281,1.9454545454545455,0.9811320754716982,0.4,0.4859813084112149,0.5833333333333333
13,frozenset({'Sepatu wanita sneakers'}),frozenset({'SHOEBALI Heels 021-218'}),0.02727272727272727,0.03636363636363636,0.01818181818181818,0.6666666666666666,18.333333333333332,1.0,0.0171900826446281,2.8909090909090907,0.9719626168224299,0.4,0.6540880503144654,0.5833333333333333
15,frozenset({'Setelan Jas Dan Celana Pria Formal'}),frozenset({'SHOEBALI Heels 021-218'}),0.02727272727272727,0.03636363636363636,0.01818181818181818,0.6666666666666666,18.333333333333332,1.0,0.0171900826446281,2.8909090909090907,0.9719626168224299,0.4,0.6540880503144654,0.5833333333333333
11,frozenset({'Kebaya Encim A-Line Bordir'}),frozenset({'Midi Dress Tropical Flowers'}),0.02727272727272727,0.045454545454545456,0.01818181818181818,0.6666666666666666,14.666666666666666,1.0,0.016942148760330577,2.8636363636363633,0.9579439252336447,0.3333333333333333,0.6507936507936508,0.5333333333333333
10,frozenset({'Midi Dress Tropical Flowers'}),frozenset({'Kebaya Encim A-Line Bordir'}),0.045454545454545456,0.02727272727272727,0.01818181818181818,0.39999999999999997,14.666666666666666,1.0,0.016942148760330577,1.621212121212121,0.9761904761904762,0.3333333333333333,0.3831775700934579,0.5333333333333333
19,frozenset({'This Is April Atasan Kemeja Lengan Panjang'}),frozenset({'Sora Plaid Blazer Lengan Panjang / Blazer Casual Wanita'}),0.06363636363636363,0.045454545454545456,0.02727272727272727,0.4285714285714286,9.428571428571429,1.0,0.024380165289256198,1.6704545454545456,0.9546925566343042,0.3333333333333333,0.4013605442176871,0.5142857142857142
18,frozenset({'Sora Plaid Blazer Lengan Panjang / Blazer Casual Wanita'}),frozenset({'This Is April Atasan Kemeja Lengan Panjang'}),0.045454545454545456,0.06363636363636363,0.02727272727272727,0.6,9.428571428571429,1.0,0.024380165289256198,2.340909090909091,0.9365079365079364,0.3333333333333333,0.5728155339805825,0.5142857142857142
2,frozenset({'Atasan Knit Wanita'}),frozenset({'Long Strap Dress'}),0.07272727272727272,0.02727272727272727,0.01818181818181818,0.25,9.166666666666668,1.0,0.016198347107438015,1.296969696969697,0.9607843137254902,0.2222222222222222,0.2289719626168224,0.4583333333333333
3,frozenset({'Long Strap Dress'}),frozenset({'Atasan Knit Wanita'}),0.02727272727272727,0.07272727272727272,0.01818181818181818,0.6666666666666666,9.166666666666666,1.0,0.016198347107438015,2.7818181818181813,0.9158878504672896,0.2222222222222222,0.6405228758169934,0.4583333333333333
6,frozenset({'Celana Cargo Pendek Anak Laki-Laki Bahan Dusky Crinkle/Parasut'}),frozenset({'Midi Dress Tropical Flowers'}),0.045454545454545456,0.045454545454545456,0.01818181818181818,0.39999999999999997,8.799999999999999,1.0,0.016115702479338842,1.5909090909090908,0.9285714285714285,0.25,0.3714285714285714,0.39999999999999997
7,frozenset({'Midi Dress Tropical Flowers'}),frozenset({'Celana Cargo Pendek Anak Laki-Laki Bahan Dusky Crinkle/Parasut'}),0.045454545454545456,0.045454545454545456,0.01818181818181818,0.39999999999999997,8.799999999999999,1.0,0.016115702479338842,1.5909090909090908,0.9285714285714285,0.25,0.3714285714285714,0.39999999999999997
